"","gene","tissue","prot","mrna"
"620","ENSG00000087460","uterus",2.97255714958498e-05,0.000499999999613144
"621","ENSG00000087470","uterus",2.74748858035305e-06,3.62000000389123e-05
"623","ENSG00000087842","uterus",9.81017814742858e-06,9.49999999368158e-06
"626","ENSG00000088247","uterus",6.15748078136571e-05,0.000103800000116531
"627","ENSG00000088256","uterus",0.000138548087750623,2.58999999951544e-05
"631","ENSG00000088682","uterus",4.39064537206615e-06,2.29999999990683e-05
"632","ENSG00000088812","uterus",2.82200348015568e-07,1.20999999911833e-05
"634","ENSG00000088833","uterus",2.26445703526816e-05,4.92000000263551e-05
"636","ENSG00000088930","uterus",4.64122732000775e-07,3.65999999667612e-05
"639","ENSG00000089006","uterus",3.71386467531296e-05,4.21000000159301e-05
"640","ENSG00000089050","uterus",4.74480962492796e-05,1e-05
"649","ENSG00000089220","uterus",0.00608321421461233,0.000132799999990215
"650","ENSG00000089248","uterus",0.000285111888662273,4.72000000397681e-05
"651","ENSG00000089280","uterus",1.89037687531389e-05,0.00019460000003032
"654","ENSG00000089597","uterus",0.000349735377007279,0.000109400000000652
"659","ENSG00000090013","uterus",0.00126288267682691,2.66000000225967e-05
"663","ENSG00000090273","uterus",1.25594591583562e-05,3.05999999660683e-05
"664","ENSG00000090339","uterus",3.21379143507429e-06,2.66999999775863e-05
"666","ENSG00000090382","uterus",2.02285470990535e-05,9.43999999352105e-05
"674","ENSG00000090861","uterus",2.02586987284771e-05,3.86000000291743e-05
"675","ENSG00000090863","uterus",3.00077981614826e-07,5.64000000021633e-05
"682","ENSG00000091140","uterus",6.14322423677331e-05,3.66999999786972e-05
"683","ENSG00000091164","uterus",0.000168446325232347,4.10000000264586e-05
"684","ENSG00000091409","uterus",2.99141508245493e-07,5.3899999976824e-05
"693","ENSG00000092010","uterus",0.00027256787981516,0.000128899999895109
"694","ENSG00000092094","uterus",1.30770572187539e-05,3.11999999986751e-05
"696","ENSG00000092108","uterus",1.72054797974871e-06,3.29000000037897e-05
"698","ENSG00000092199","uterus",6.13035194237095e-05,0.000178099999810028
"701","ENSG00000092621","uterus",4.01913075138012e-05,1.47000000085237e-05
"702","ENSG00000092820","uterus",0.000245138421356982,3.52999999684773e-05
"703","ENSG00000092841","uterus",0.000232271157926363,0.0011463999989724
"706","ENSG00000092964","uterus",0.00016071587496234,2.19000000080623e-05
"708","ENSG00000093010","uterus",7.84670511848613e-05,4.65000000117827e-05
"709","ENSG00000093144","uterus",1.64085104887168e-05,2.79999999779363e-05
"716","ENSG00000095139","uterus",1.9082792853859e-05,6.00999999996209e-05
"721","ENSG00000095380","uterus",8.00271646167271e-05,2.54999999745199e-05
"726","ENSG00000096060","uterus",5.81428355601185e-06,3.29000000037897e-05
"727","ENSG00000096384","uterus",0.000892607506959722,0.000298499999680129
"731","ENSG00000096746","uterus",3.85125791609906e-05,0.00014509999985375
"733","ENSG00000097033","uterus",4.31140054215925e-06,3.54999999954965e-05
"737","ENSG00000099246","uterus",3.45349049467893e-05,5.54000000346424e-05
"743","ENSG00000099341","uterus",2.87977377210243e-05,6.06999999894815e-05
"746","ENSG00000099783","uterus",5.57430854770495e-06,8.55000000535149e-05
"751","ENSG00000099810","uterus",4.95752124488277e-05,1.44999999921548e-05
"754","ENSG00000099901","uterus",7.91333195037005e-05,3.58000000293563e-05
"758","ENSG00000099968","uterus",2.6741136077526e-06,1.69999999851929e-05
"761","ENSG00000099995","uterus",5.02060357503975e-06,4.10000000264586e-05
"762","ENSG00000099998","uterus",8.28701820677506e-05,1.70999999845593e-05
"764","ENSG00000100028","uterus",6.00231200981452e-05,5.79000000363381e-05
"765","ENSG00000100030","uterus",9.82159995850897e-05,2.84999999994415e-05
"766","ENSG00000100034","uterus",8.53923264999909e-06,1.52000000019329e-05
"771","ENSG00000100097","uterus",0.000656979839910918,0.000814300000388429
"774","ENSG00000100129","uterus",4.85649662208177e-06,0.00030779999964885
"778","ENSG00000100201","uterus",2.27550716327772e-05,0.000305600000067797
"781","ENSG00000100220","uterus",1.95784154991378e-05,4.11999999968566e-05
"787","ENSG00000100243","uterus",0.000414703833521507,0.000112399999939686
"790","ENSG00000100266","uterus",2.67901283935717e-05,2.43999999809691e-05
"791","ENSG00000100280","uterus",7.96390955202805e-06,1.68000000106046e-05
"792","ENSG00000100284","uterus",7.70271155407317e-07,2.34999999852962e-05
"799","ENSG00000100304","uterus",5.38783079211078e-06,1.09999999959924e-05
